Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent_Africa,Continent_America,Continent_Europe,Score_log
7.587,1.39651,0.94143,0.66557,0.29678,0.41978,0,0,1,2.1502494316903475
7.561,1.30232,0.94784,0.62877,0.4363,0.14145,0,0,1,2.1472170057603486
7.527,1.32548,0.87464,0.64938,0.34139,0.48357,0,0,1,2.1432375997599125
7.522,1.459,0.88521,0.66973,0.34699,0.36503,0,0,1,2.1426510550777205
7.427,1.32629,0.90563,0.63297,0.45811,0.32957,0,1,0,2.1314408367902162
7.406,1.29025,0.88911,0.64169,0.23351,0.41372,0,0,1,2.1289457365829247
7.378,1.32944,0.89284,0.61576,0.4761,0.31814,0,0,1,2.1256092225248433
7.364,1.33171,0.91087,0.6598,0.36262,0.43844,0,0,1,2.123936781566387
7.286,1.25018,0.90837,0.63938,0.47501,0.42922,0,0,0,2.11456734365521
7.284,1.33358,0.93156,0.65124,0.43562,0.35637,0,0,0,2.1143259435333377
7.278,1.22857,0.91387,0.41319,0.33172,0.07785,0,0,0,2.1136013933265407
7.226,0.95578,0.86027,0.63376,0.25497,0.10583,0,1,0,2.1072998698082324
7.2,1.33723,0.89042,0.62433,0.33088,0.18676,0,0,1,2.1041341542702074
7.187,1.02054,0.81444,0.48181,0.14074,0.21312,0,1,0,2.102547530394311
7.119,1.39451,0.86179,0.54604,0.40105,0.1589,0,1,0,2.0942069938803094
6.983,0.98124,0.69702,0.49049,0.14574,0.17521,0,1,0,2.077314280663662
6.946,1.56391,0.91894,0.61583,0.28034,0.37798,0,0,1,2.0726686573924074
6.94,1.33596,0.89533,0.61777,0.45901,0.28703,0,0,1,2.0719132752590443
6.937,1.30782,0.89667,0.5845,0.2225,0.2254,0,0,1,2.0715353701087387
6.901,1.42727,0.80925,0.64157,0.26428,0.38583,0,0,0,2.066989333740596
6.867,1.26637,0.90943,0.59625,0.51912,0.32067,0,0,1,2.0626767953471052
6.853,1.36011,0.76276,0.63274,0.21542,0.32524,0,0,0,2.0608956243927374
6.81,1.04424,0.72052,0.42908,0.05841,0.11069,0,1,0,2.0554049638515943
6.798,1.52186,1.02525,0.54252,0.31105,0.4921,0,0,0,2.0538672905604054
6.786,1.06353,0.79661,0.5421,0.24434,0.0927,0,1,0,2.052327249188264
6.75,1.32792,0.89186,0.61477,0.28214,0.21843,0,0,1,2.0476928433652555
6.67,1.10715,0.85857,0.44132,0.33363,0.12869,0,1,0,2.0373166153791646
6.611,1.69042,0.79733,0.6404,0.32573,0.52208,0,0,0,2.0295945692852544
6.575,1.27778,0.94579,0.55011,0.12332,0.20646,0,0,1,2.024853351395433
6.574,1.05351,0.78723,0.44974,0.11451,0.08484,0,1,0,2.024721329479603
6.505,1.17898,0.84483,0.46364,0.10686,0.02652,0,0,1,2.0155694650854254
6.485,1.06166,0.8116,0.60362,0.2324,0.24558,0,1,0,2.0129010178715916
6.477,0.91861,0.69077,0.53466,0.18401,0.0512,0,1,0,2.0118316420177784
6.455,0.9669,0.7385,0.55664,0.5763,0.03187,0,0,0,2.0088849482167017
6.411,1.39541,0.72025,0.31048,0.13706,0.32524,0,0,0,2.0029653829692218
6.329,1.23011,0.95562,0.45951,0.18227,0.06398,0,0,1,1.991839080943713
6.302,1.2074,0.88721,0.60365,0.51752,0.13586,0,0,1,1.9881482832334452
6.298,1.29098,0.8753,0.3974,0.25376,0.08129,0,0,0,1.987600338014256
6.295,1.55422,0.72492,0.55499,0.16228,0.25609,0,0,0,1.987189181974749
6.269,0.99534,0.6082,0.59657,0.16991,0.13633,0,1,0,1.9836187305024984
6.168,1.21183,0.61483,0.55884,0.31844,0.0114,0,1,0,1.9696266756726293
6.13,0.76454,0.67737,0.4035,0.10692,0.11776,0,1,0,1.9643112344262046
6.123,0.74553,0.64425,0.57733,0.27489,0.09472,0,1,0,1.9633289849962168
6.003,0.63244,0.59772,0.65821,0.22837,0.30826,0,0,0,1.9463386286733808
5.995,1.16891,0.78902,0.31751,0.16893,0.03431,0,0,1,1.9451956081174444
5.987,1.27074,0.99111,0.49615,0.10705,0.1806,0,0,0,1.9440512795703135
5.984,1.24461,0.96538,0.33208,0.18557,0.07857,0,0,0,1.943621818537301
5.975,0.86402,0.79075,0.48574,0.11541,0.1809,0,1,0,1.9423323277074294
5.96,1.32376,0.74716,0.45492,0.17362,0.306,0,0,0,1.9401794743463283
5.948,1.25114,0.95446,0.26236,0.22823,0.02901,0,0,1,1.9384538483788585
5.89,0.68133,0.5392,0.57414,0.20536,0.088,0,1,0,1.9300710850255671
5.889,0.59448,0.61826,0.32818,0.20951,0.01615,0,0,1,1.9299259366110588
5.878,0.75985,0.66098,0.53899,0.3424,0.08242,0,1,0,1.9283279120100745
5.855,1.12254,0.64368,0.51649,0.11827,0.08454,0,0,0,1.9249783130142777
5.848,1.18498,0.87337,0.60855,0.25328,0.03787,0,0,1,1.923956638839441
5.833,1.14723,0.73128,0.21342,0.02641,0.01031,0,0,1,1.9217638157986412
5.828,0.59325,0.74314,0.55475,0.27815,0.19317,0,1,0,1.9210318049321942
5.824,0.90019,0.73017,0.41496,0.14982,0.05989,0,1,0,1.920445810189378
5.813,1.03192,0.73608,0.37938,0.11046,0.1909,0,0,1,1.918832551791531
5.791,1.12555,0.77903,0.53122,0.16759,0.04212,0,0,1,1.9155982061316543
5.77,1.12486,0.72394,0.53024,0.33075,0.10501,0,0,0,1.9125010869241836
5.759,1.08254,0.78805,0.25883,0.05444,0.0243,0,0,1,1.9108749501182172
5.754,1.13145,0.7038,0.41668,0.18295,0.11023,1,0,0,1.9101349219633759
5.716,1.13764,0.66926,0.36679,0.00199,0.03005,0,0,1,1.9044927392152944
5.709,0.81038,0.68741,0.50442,0.2123,0.02299,0,1,0,1.903449908580751
5.695,1.20806,0.92356,0.49027,0.26169,0.1428,0,0,0,1.9013609791431358
5.689,1.20813,0.92356,0.40672,0.30638,0.06146,0,0,0,1.900464386136271
5.605,0.93929,0.61766,0.28579,0.07822,0.17383,1,0,0,1.8878269379742887
5.589,0.80148,0.63132,0.24749,0.2831,0.04741,0,0,1,1.8854015919316829
5.548,0.95847,0.53886,0.4761,0.16979,0.30844,0,0,0,1.8791596595088884
5.477,1.00761,0.7095,0.56066,0.37744,0.07521,1,0,0,1.86825744020078
5.474,1.38604,1.01328,0.59608,0.39478,0.37124,0,0,0,1.8677941555040527
5.429,1.15174,0.77361,0.44888,0.0868,0.15184,0,0,1,1.8608190051595497
5.399,0.82827,0.63793,0.46611,0.51535,0.0,0,0,0,1.8561417281573231
5.36,0.63216,0.74676,0.59444,0.1686,0.10441,0,0,0,1.8500283773520307
5.332,1.06098,0.73172,0.22815,0.12253,0.15746,0,0,0,1.8456161420187658
5.286,0.47428,0.65088,0.43477,0.3003,0.04232,0,0,0,1.8383249383753757
5.268,0.65435,0.16007,0.34334,0.27233,0.0403,1,0,0,1.8354573244937744
5.253,0.77042,0.57407,0.53206,0.47998,0.15445,0,0,0,1.833061348585161
5.212,1.02389,0.64045,0.3703,0.07799,0.16065,0,0,0,1.8264829052864406
5.194,0.59543,0.51466,0.12102,0.33671,0.10464,0,0,0,1.8235810815510112
5.192,0.90198,0.69639,0.40661,0.11053,0.14293,0,0,0,1.823258136287426
5.192,0.97438,0.72521,0.1826,0.1614,0.14296,0,0,1,1.823258136287426
5.14,0.89012,0.81658,0.51697,0.08185,0.02781,0,0,0,1.814824742159051
5.129,0.47038,0.29924,0.48827,0.19591,0.12468,1,0,0,1.8130316045035946
5.124,1.04345,0.7689,0.35068,0.13748,0.00649,0,0,1,1.8122154777954373
5.123,0.92053,0.74836,0.20107,0.19231,0.02617,0,0,1,1.8120521724958174
5.102,1.15991,0.87519,0.51469,0.13719,0.01078,0,0,1,1.808616586294478
5.098,1.11312,0.72437,0.29671,0.18226,0.06332,0,0,1,1.807960848566063
5.073,0.70532,0.58114,0.62545,0.24991,0.12279,0,0,0,1.8038527169154384
5.057,0.18847,0.43873,0.46582,0.50318,0.39928,1,0,0,1.8012146279988102
5.013,0.73479,0.60954,0.41691,0.07172,0.08546,1,0,0,1.7939237920574316
5.007,0.91851,0.73545,0.33457,0.22359,0.05327,0,0,1,1.7929254558680243
4.971,0.08308,0.09131,0.34037,0.22269,0.15603,1,0,0,1.7869144175648555
4.959,0.87867,0.81325,0.35733,0.14272,0.06413,0,0,1,1.7849026817648417
4.949,0.83223,0.79081,0.09245,0.24808,0.00227,0,0,1,1.7832231382057686
4.898,0.37545,0.07612,0.31767,0.16388,0.12504,1,0,0,1.7746133103930846
4.885,0.89537,0.66825,0.57672,0.21684,0.14234,0,1,0,1.7724067407122401
4.876,0.59066,0.54909,0.59591,0.42192,0.24249,0,0,0,1.7708762583116309
4.874,0.82819,0.60268,0.43626,0.3323,0.02666,0,0,0,1.7705358327764282
4.867,0.71206,0.07566,0.30658,0.18259,0.0306,1,0,0,1.769343429943723
4.857,1.15406,0.88213,0.07699,0.0,0.01397,0,0,1,1.7676375271076452
4.839,1.02564,0.83947,0.33916,0.21854,0.04582,0,0,0,1.7645595493014006
4.8,1.12094,0.75905,0.32112,0.128,0.02758,0,0,1,1.7578579175523736
4.788,0.59532,0.6951,0.40148,0.23027,0.06825,0,1,0,1.7557868087692374
4.786,0.39047,0.57379,0.47216,0.22974,0.15072,0,0,0,1.7554412065539433
4.739,0.88113,0.73793,0.26268,0.06431,0.06358,1,0,0,1.7472849791262255
4.715,0.59867,0.66015,0.24499,0.11251,0.12905,0,0,0,1.743094297246774
4.694,0.39753,0.60164,0.4082,0.21222,0.12569,0,0,0,1.7394129888558458
4.686,1.0088,0.69805,0.30033,0.38086,0.05863,0,0,0,1.738007013228808
4.681,0.79907,0.6739,0.25123,0.15275,0.02961,0,0,1,1.7371272735749899
4.677,0.98549,0.60237,0.0,0.17922,0.13788,0,0,0,1.7364229241885891
4.642,0.92049,0.27688,0.33207,0.11973,0.08884,1,0,0,1.7302386125798046
4.633,0.54558,0.40132,0.42342,0.23087,0.04355,1,0,0,1.728642159912577
4.61,0.271,0.33475,0.25861,0.18987,0.08079,1,0,0,1.724550719534605
4.571,0.0712,0.34201,0.28531,0.24362,0.06232,1,0,0,1.7175745710386785
4.565,0.64499,0.51529,0.39786,0.26475,0.08492,0,0,0,1.7164969847275082
4.55,0.52107,0.36878,0.10081,0.19062,0.1466,1,0,0,1.713797927758343
4.518,0.26673,0.38847,0.24425,0.46187,0.17175,0,1,0,1.7080154757950943
4.517,0.0,0.09806,0.22605,0.24834,0.07625,1,0,0,1.707834234290294
4.514,0.35997,0.56874,0.38282,0.32296,0.05907,0,0,0,1.707290312601605
4.512,0.19073,0.44055,0.4345,0.24325,0.15048,1,0,0,1.7069275337113574
4.507,0.33024,0.0,0.4084,0.21488,0.08786,1,0,0,1.7060200102803444
4.436,0.45407,0.35874,0.24232,0.219,0.17461,1,0,0,1.6930434962888974
4.419,0.36471,0.41435,0.42215,0.37542,0.05839,1,0,0,1.689911296583977
4.369,0.44025,0.36291,0.46074,0.18093,0.28105,1,0,0,1.6806416714404324
4.35,0.76821,0.7299,0.19847,0.07855,0.039,0,0,0,1.6770965609079151
4.332,0.99355,0.04776,0.49495,0.10461,0.12474,1,0,0,1.6737264023164622
4.307,0.27108,0.48246,0.44017,0.79588,0.19034,0,0,0,1.669026703845758
4.297,0.7419,0.72926,0.40577,0.05547,0.38331,0,0,0,1.6671406225623895
4.292,0.01604,0.22562,0.43054,0.33128,0.06977,1,0,0,1.6661962462527091
4.271,0.83524,0.70806,0.53726,0.40828,0.09179,0,0,0,1.6622200978730697
4.252,0.4225,0.23402,0.49309,0.20618,0.05786,1,0,0,1.6586089564405497
4.218,1.01216,0.76649,0.30587,0.11921,0.00872,0,0,1,1.6521141867145368
4.194,0.8818,0.61712,0.17288,0.11291,0.06324,1,0,0,1.6475041132405566
4.077,0.54649,0.40064,0.35571,0.09131,0.07854,0,0,0,1.6247205359652572
4.033,0.75778,0.16683,0.10384,0.12344,0.07122,1,0,0,1.616016227794223
3.995,0.26074,0.20583,0.38857,0.18798,0.12352,1,0,0,1.608437412100517
3.989,0.67866,0.31051,0.41466,0.12388,0.11686,1,0,0,1.6072354888789002
3.956,0.23906,0.36315,0.22917,0.17441,0.199,1,0,0,1.600598963766896
3.931,0.21102,0.33861,0.45727,0.29066,0.07267,1,0,0,1.5955418072419891
3.904,0.36498,0.4354,0.36772,0.20843,0.10713,1,0,0,1.5900511986339103
3.896,1.06024,0.43372,0.31914,0.06822,0.11091,1,0,0,1.588418545210025
3.845,0.0694,0.29707,0.47692,0.19387,0.15639,1,0,0,1.5779472453427297
3.819,0.46038,0.61114,0.66246,0.40359,0.07247,0,0,0,1.5725664376581956
3.781,0.2852,0.38215,0.32878,0.34377,0.05747,1,0,0,1.5646497296439663
3.681,0.20824,0.46721,0.19184,0.21333,0.08124,1,0,0,1.5435117623179335
3.678,0.0785,0.06699,0.48879,0.23835,0.08289,1,0,0,1.5428706681619873
3.667,0.34193,0.1501,0.23501,0.18386,0.05269,1,0,0,1.5405164669676785
3.656,0.17417,0.24009,0.37725,0.28657,0.12139,1,0,0,1.5381567104291367
3.655,0.46534,0.15185,0.46866,0.20165,0.17922,1,0,0,1.5379419107290304
3.587,0.25812,0.27125,0.39493,0.21747,0.12832,1,0,0,1.523226215615035
3.575,0.31982,0.30335,0.23414,0.3651,0.09719,0,0,0,1.5206066987274847
3.465,0.22208,0.42864,0.59201,0.22628,0.55191,1,0,0,1.4962692143284624
3.34,0.28665,0.3191,0.4845,0.1826,0.0801,1,0,0,1.4678743481123135
3.006,0.6632,0.72193,0.15684,0.47179,0.18906,0,0,0,1.3877932372436264
2.905,0.0153,0.22396,0.1185,0.19727,0.10062,1,0,0,1.3622577832916491
2.839,0.20868,0.28443,0.36453,0.16681,0.10731,1,0,0,1.3452119160186606
7.526,1.44178,0.79504,0.57941,0.36171,0.44453,0,0,1,2.1431203183430187
7.509,1.52733,0.86303,0.58557,0.28083,0.41203,0,0,1,2.14112442686742
7.501,1.42666,0.86733,0.56624,0.47678,0.14975,0,0,1,2.140183803635222
7.498,1.57744,0.79579,0.59609,0.37895,0.35776,0,0,1,2.13983084169262
7.413,1.40598,0.81091,0.57104,0.25492,0.41004,0,0,1,2.1297781285686765
7.404,1.44015,0.8276,0.5737,0.44834,0.31329,0,1,0,2.128707782982754
7.339,1.46468,0.81231,0.55211,0.47416,0.29927,0,0,1,2.1209433051048485
7.334,1.36066,0.83096,0.58147,0.49401,0.41904,0,0,0,2.120343533000262
7.313,1.44443,0.8512,0.56837,0.47407,0.32331,0,0,0,2.117820554548951
7.291,1.45181,0.83121,0.58218,0.38254,0.40867,0,0,1,2.1151705891340815
7.267,1.33766,0.84917,0.36432,0.32288,0.08728,0,0,0,2.1122716862705384
7.119,1.45038,0.80565,0.54355,0.32865,0.21348,0,0,1,2.0942069938803094
7.104,1.50796,0.779,0.48163,0.41077,0.14868,0,1,0,2.092357766946382
7.087,1.06879,0.76146,0.55225,0.22553,0.10547,0,1,0,2.090257834113685
7.039,1.35943,0.77758,0.46823,0.22202,0.12275,0,1,0,2.0843046973458237
6.994,1.44787,0.81487,0.53466,0.30452,0.28551,0,0,1,2.0786912602891316
6.952,1.08754,0.61415,0.40425,0.15776,0.14166,0,1,0,2.073423469354273
6.929,1.42539,0.81959,0.51354,0.2424,0.26248,0,0,1,2.0705269242902617
6.907,1.48341,0.81455,0.54008,0.44963,0.29754,0,0,1,2.06774844308879
6.871,1.69752,0.84542,0.5487,0.27571,0.35329,0,0,1,2.063185119160313
6.778,1.11508,0.71143,0.37709,0.11735,0.18355,0,1,0,2.0512992357335555
6.739,1.64555,0.94719,0.4877,0.32706,0.46987,0,0,0,2.046272480288322
6.725,1.40283,0.80991,0.50036,0.50156,0.27399,0,0,1,2.044461822783809
6.705,1.2167,0.81883,0.37789,0.31595,0.11451,0,1,0,2.041869468772079
6.701,1.18306,0.70835,0.48927,0.2418,0.08423,0,1,0,2.041350190557113
6.65,1.15137,0.69711,0.42284,0.10989,0.07296,0,1,0,2.0347056478384444
6.596,1.30915,0.76376,0.41418,0.09929,0.03986,0,0,1,2.0276217929500393
6.573,1.57352,0.72993,0.56215,0.26591,0.35561,0,0,0,2.0245892901316855
6.545,1.18157,0.72183,0.54388,0.18056,0.21394,0,1,0,2.020885092219812
6.488,1.30782,0.80315,0.54994,0.56237,0.17554,0,0,1,2.013301739175291
6.481,1.03032,0.59659,0.44735,0.15626,0.05399,0,1,0,2.012366472890268
6.478,1.39488,0.83795,0.46562,0.1216,0.17808,0,0,1,2.011965376554922
6.474,1.0893,0.64915,0.49553,0.58696,0.02833,0,0,0,2.011430331063292
6.379,1.48953,0.59267,0.37904,0.15457,0.30008,0,0,0,1.9986381280762295
6.379,1.39729,0.79565,0.32377,0.25495,0.0663,0,0,0,1.9986381280762295
6.375,1.82427,0.71723,0.56679,0.32388,0.48049,0,0,0,1.9980959022258835
6.361,1.34253,0.87896,0.37545,0.17665,0.06137,0,0,1,1.9961957930765688
6.355,1.05266,0.61804,0.21006,0.07044,0.16157,1,0,0,1.995380354053401
6.324,0.83454,0.54039,0.50379,0.28808,0.08701,0,1,0,1.9911566268122642
6.269,1.09686,0.50933,0.52234,0.16665,0.12692,0,1,0,1.9836187305024984
6.239,1.61714,0.63569,0.43166,0.15965,0.23669,0,0,0,1.9794830753110044
6.218,1.44024,0.65696,0.47375,0.17147,0.25772,0,0,0,1.9765779062205968
6.168,1.32572,0.52608,0.48453,0.31935,0.01241,0,1,0,1.9696266756726293
6.084,1.13367,0.61904,0.19847,0.0425,0.08304,0,1,0,1.9578387199205871
6.078,1.27973,0.70367,0.23391,0.13837,0.02947,0,0,1,1.9569913819232716
6.068,0.8737,0.596,0.37269,0.08877,0.10613,0,1,0,1.9555775544574499
6.005,1.25142,0.62366,0.39031,0.41474,0.09081,0,0,0,1.9466241797889703
5.992,0.69384,0.65213,0.46582,0.29773,0.16292,0,1,0,1.9447666383532343
5.987,0.73591,0.50163,0.60848,0.34326,0.28333,0,0,0,1.9440512795703135
5.977,1.35495,0.85102,0.18827,0.16684,0.02556,0,0,1,1.9426190249570996
5.976,0.97306,0.68613,0.4027,0.10074,0.18037,0,1,0,1.9424756866066786
5.956,0.87616,0.45569,0.51231,0.23684,0.10771,0,1,0,1.9396045964920368
5.921,1.38007,0.91491,0.46761,0.10224,0.18985,0,0,0,1.9345602678597262
5.919,1.22943,0.57386,0.4052,0.15011,0.11132,0,0,0,1.934271250516674
5.897,0.69177,0.52309,0.25202,0.19997,0.01903,0,0,1,1.9310865344491543
5.856,1.23228,0.58991,0.32682,0.02736,0.03586,0,0,1,1.9251241812954787
5.835,1.24585,0.69058,0.4519,0.14443,0.055,0,0,1,1.9220564701759129
5.835,1.35948,0.88645,0.25168,0.18824,0.07716,0,0,0,1.9220564701759129
5.822,0.79422,0.4697,0.50961,0.21698,0.07746,0,1,0,1.920152683996454
5.813,1.2692,0.64674,0.18929,0.02025,0.0182,0,0,1,1.918832551791531
5.802,1.13062,0.63104,0.29091,0.13942,0.17457,0,0,1,1.9172166865850038
5.771,1.31141,0.84142,0.43596,0.26322,0.16578,0,0,0,1.9126487865035082
5.768,1.29947,0.79151,0.53164,0.25738,0.03635,0,0,1,1.912205622303922
5.743,0.99602,0.62994,0.37502,0.14527,0.05292,0,1,0,1.908504929752445
5.658,1.08017,0.44006,0.37408,0.22567,0.28467,0,0,0,1.8958191391528332
5.648,1.14372,0.66189,0.46145,0.36951,0.05203,1,0,0,1.894316057553147
5.615,1.06688,0.52304,0.40672,0.17087,0.10339,1,0,0,1.889339797566919
5.56,1.21788,0.63952,0.27996,0.17445,0.0889,0,0,1,1.8809906029559977
5.546,1.31857,0.8488,0.29507,0.27906,0.05228,0,0,0,1.8788541760789887
5.538,0.89373,0.58295,0.46235,0.25296,0.07396,0,1,0,1.8776313083020189
5.528,1.1697,0.67602,0.36712,0.12889,0.00679,0,0,1,1.8761006176618058
5.517,1.27964,0.68098,0.41511,0.08423,0.18519,0,0,1,1.8744141473502434
5.51,0.89333,0.59469,0.43597,0.22245,0.04294,0,1,0,1.873339456220478
5.488,1.18649,0.70524,0.23907,0.18434,0.04002,0,0,1,1.8699543168131119
5.458,1.5107,0.95277,0.48079,0.40097,0.31647,0,0,0,1.8653196723360834
5.44,0.0,0.11466,0.56778,0.27225,0.3118,1,0,0,1.8625285401162623
5.401,0.90145,0.54,0.14396,0.27992,0.06547,0,0,1,1.8564542281598664
5.389,1.16492,0.64718,0.23889,0.04707,0.12348,0,0,0,1.8545777616202064
5.314,0.95104,0.49374,0.39237,0.56521,0.00322,0,0,0,1.8427693901358
5.303,0.99673,0.60712,0.36023,0.14262,0.13297,0,0,0,1.841025710530973
5.291,1.12373,0.54504,0.35327,0.0564,0.17914,0,0,0,1.8391200405878927
5.279,0.81217,0.47036,0.54854,0.21674,0.11757,0,0,0,1.8372107321319724
5.245,1.0278,0.73561,0.44012,0.04959,0.02745,0,0,0,1.831781143577541
5.196,0.8527,0.49759,0.46074,0.48546,0.1616,0,0,0,1.823903922554622
5.185,0.56044,0.55449,0.40212,0.38432,0.04762,0,0,0,1.8221270058444512
5.177,1.03437,0.6458,0.15718,0.20737,0.04339,0,0,1,1.820832716713762
5.163,0.93383,0.70766,0.09511,0.29889,0.0,0,0,1,1.8185636719801062
5.161,1.07838,0.63533,0.15111,0.17191,0.12721,0,0,1,1.8182391020324336
5.155,1.02787,0.57669,0.52259,0.21286,0.12372,0,1,0,1.8172647596364169
5.151,0.84058,0.59471,0.25646,0.04053,0.08404,1,0,0,1.8166146702262311
5.145,1.24142,0.67608,0.1977,0.099,0.04472,0,0,1,1.815638743017998
5.132,0.68816,0.40306,0.14622,0.31185,0.1388,0,0,0,1.8135209610095675
5.129,1.12268,0.76171,0.26228,0.23693,0.03061,0,0,0,1.8130316045035946
5.123,1.27607,0.79363,0.44727,0.11691,0.01521,0,0,1,1.8120521724958174
5.121,1.0193,0.64738,0.27668,0.23507,0.07047,0,0,1,1.8117254818689328
5.061,0.74037,0.66157,0.55954,0.25075,0.11556,0,0,0,1.801874802969148
5.057,0.25558,0.33108,0.3913,0.51479,0.36794,1,0,0,1.8012146279988102
5.045,0.97724,0.59577,0.23553,0.03936,0.0817,1,0,0,1.799231484066756
5.033,1.24886,0.80029,0.05822,0.0,0.04127,0,0,1,1.7972443994586247
4.996,0.48835,0.53119,0.43408,0.25998,0.13509,0,0,0,1.7910925802403512
4.907,0.98853,0.55469,0.35972,0.34539,0.03285,0,0,0,1.7761380883250981
4.876,0.68042,0.38291,0.52168,0.43079,0.22423,0,0,0,1.7708762583116309
4.875,0.75216,0.05108,0.27854,0.23219,0.0305,1,0,0,1.7707060600302227
4.871,0.69429,0.58383,0.26755,0.2044,0.06906,0,1,0,1.7700249770820489
4.813,1.11758,0.64232,0.22544,0.38538,0.0557,0,0,0,1.7600967887192134
4.795,0.61202,0.23573,0.42662,0.17866,0.11479,1,0,0,1.756995476791715
4.793,0.44626,0.50073,0.37012,0.3816,0.07008,0,0,0,1.756650292114487
4.754,0.67024,0.56844,0.17744,0.11154,0.10613,0,0,0,1.7498952651293562
4.655,0.9553,0.73007,0.31866,0.1684,0.05301,0,0,1,1.7325401095680837
4.643,0.54177,0.52989,0.39778,0.19132,0.12583,0,0,0,1.730415838987003
4.635,0.36485,0.0,0.30685,0.23897,0.08196,1,0,0,1.7289971474917396
4.575,1.07474,0.51076,0.24856,0.19589,0.13636,0,0,0,1.7182923173461826
4.574,0.93287,0.34745,0.48614,0.07795,0.10398,1,0,0,1.7181129290597563
4.513,0.52497,0.12698,0.42736,0.2268,0.06126,1,0,0,1.7071089396075465
4.508,0.29283,0.34578,0.36703,0.29522,0.1717,1,0,0,1.7062015808664084
4.459,1.02416,0.18611,0.42483,0.13656,0.08415,1,0,0,1.6972656227996206
4.415,0.97318,0.62007,0.50817,0.46978,0.07964,0,0,0,1.689172880452954
4.404,0.74036,0.45091,0.40285,0.25028,0.08722,0,0,0,1.6871394200979524
4.395,0.34112,0.3988,0.42692,0.81971,0.20243,0,0,0,1.6854725987100978
4.362,0.95395,0.52116,0.18847,0.12706,0.10393,1,0,0,1.6793370398137677
4.36,0.86086,0.64083,0.14037,0.07793,0.03616,0,0,0,1.6789639750827106
4.356,0.52267,0.30147,0.40576,0.41328,0.06686,1,0,0,1.6782174278289261
4.324,0.87287,0.58628,0.12859,0.20363,0.01829,0,0,1,1.672224900532865
4.276,0.63107,0.29681,0.40973,0.21203,0.0326,1,0,0,1.663168234855068
4.272,0.05661,0.188,0.15602,0.25458,0.06075,1,0,0,1.662409797200206
4.252,0.83792,0.64035,0.32461,0.06786,0.3188,0,0,0,1.6586089564405497
4.236,0.77109,0.28212,0.37938,0.12077,0.09753,1,0,0,1.6555578480476534
4.219,0.44314,0.40457,0.31056,0.19103,0.11681,1,0,0,1.6523058126612762
4.217,1.11306,0.67806,0.21219,0.12793,0.00615,0,0,1,1.6519225240402555
4.201,0.61391,0.28639,0.1268,0.22686,0.17955,1,0,0,1.6488509147909354
